Email address,Domain name,Organization,Country,State,City,Postal code,Street,Confidence score,Type,Number of sources,Pattern,First name,Last name,Department,Position,Twitter handle,LinkedIn URL,Phone number,Source 1,Source 2,Source 3,Source 4,Source 5,Source 6,Source 7,Source 8,Source 9,Source 10,Source 11,Source 12,Source 13,Source 14,Source 15,Source 16,Source 17,Source 18,Source 19,Source 20,Source 21,Source 22,Source 23,Source 24,Source 25,Source 26,Source 27,Source 28,Source 29,Source 30
lib@zhongxi.cn,zhongxi.cn,,,,,,,78,generic,1,{first}{last},,,,,,,,http://gccrcw.com/region/beijing/bjgx/201905/0539456.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhongxihr@zhongxi.cn,zhongxi.cn,,,,,,,77,generic,1,{first}{last},,,HR,,,,,http://chinahwrc.com/zhaopin/gaoxiao/beijing/11846.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiyanjutuan@zhongxi.cn,zhongxi.cn,,,,,,,77,personal,1,{first}{last},,,,,,,,http://web.zhongxi.cn/zsjy/ybzs/14944.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recruit@zhongxi.cn,zhongxi.cn,,,,,,,76,generic,1,{first}{last},,,,,,,,http://web.zhongxi.cn/xxgk/rssz/ryzp/11971.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuji@zhongxi.cn,zhongxi.cn,,,,,,,76,personal,1,{first}{last},,,,,,,,http://web.zhongxi.cn/xqzl/ldjs/xrld/sjyx,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xijuguanlixi@zhongxi.cn,zhongxi.cn,,,,,,,75,personal,1,{first}{last},,,,,,,,http://web.zhongxi.cn/zsjy/ybzs/14943.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zsb@zhongxi.cn,zhongxi.cn,,,,,,,75,generic,1,{first}{last},,,,,,,,http://web.zhongxi.cn/zsjy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cwc@zhongxi.cn,zhongxi.cn,,,,,,,10,generic,0,{first}{last},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zzb@zhongxi.cn,zhongxi.cn,,,,,,,10,generic,0,{first}{last},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xsc@zhongxi.cn,zhongxi.cn,,,,,,,10,generic,0,{first}{last},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jwc@zhongxi.cn,zhongxi.cn,,,,,,,10,generic,0,{first}{last},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dyjx@zhongxi.cn,zhongxi.cn,,,,,,,10,personal,0,{first}{last},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zggdxjjy@zhongxi.cn,zhongxi.cn,,,,,,,10,personal,0,{first}{last},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zxwl@zhongxi.cn,zhongxi.cn,,,,,,,10,generic,0,{first}{last},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
